product_id,product_category,demand,inventory,competitor_price,season,customer_rating,historical_price,optimal_price
P100042,Home Decor,186,604,160.17,Summer,4.6,152.61,131.79
P100043,Footwear,939,1319,156.72,Winter,2.8,165.51,125.48
P100044,Clothing,299,829,73.46,Winter,3.8,71.83,53.82
P100045,Home Decor,823,761,186.16,Winter,4.0,169.76,139.12
P100046,Footwear,325,1408,129.69,Normal,4.7,148.49,98.3
P100047,Clothing,82,1039,97.25,Summer,2.7,88.43,56.2
P100048,Clothing,996,363,70.54,Normal,3.3,68.84,69.94
P100049,Footwear,597,426,108.85,Summer,4.1,121.55,104.28
P100050,Electronics,230,1000,708.63,Normal,4.9,748.46,530.92
P100051,Electronics,20,8,633.27,Summer,4.6,611.96,586.97
P100052,Electronics,146,233,755.93,Winter,4.6,863.26,710.37
P100053,Footwear,186,116,166.08,Festival,3.8,168.62,145.33
P100054,Footwear,927,1072,105.44,Summer,3.9,93.02,84.05
P100055,Footwear,193,664,141.98,Normal,4.6,125.18,100.86
P100056,Footwear,178,21,106.36,Winter,4.7,120.62,116.18
P100057,Clothing,841,1113,113.89,Festival,4.5,108.87,89.21
P100058,Grocery,881,985,36.57,Festival,4.5,40.2,29.6
P100059,Electronics,224,1079,849.07,Festival,4.7,757.17,576.67
P100060,Electronics,657,249,832.34,Summer,2.8,765.48,724.21
P100061,Footwear,543,1313,145.04,Summer,3.2,161.19,108.04
P100062,Grocery,585,274,21.61,Summer,4.9,24.81,22.28
P100063,Grocery,325,858,21.77,Winter,3.9,19.47,15.82
P100064,Footwear,756,840,102.46,Summer,2.9,94.8,84.07
P100065,Grocery,883,331,25.36,Normal,3.8,27.26,25.6
P100066,Grocery,731,566,32.1,Festival,4.1,32.83,26.67
P100067,Grocery,905,83,30.3,Festival,4.6,29.98,32.46
P100068,Clothing,128,709,94.23,Winter,4.5,87.87,65.5
P100069,Electronics,663,1017,698.18,Winter,2.6,792.63,546.85
P100070,Clothing,999,466,79.14,Festival,3.6,73.32,72.58
P100071,Electronics,544,808,631.99,Winter,2.6,601.41,423.57
P100072,Clothing,943,1430,105.73,Winter,4.7,102.3,78.92
P100073,Home Decor,361,355,184.83,Winter,2.9,169.57,151.04
P100074,Clothing,898,439,90.59,Festival,4.1,92.84,82.46
P100075,Electronics,940,184,575.71,Normal,3.9,559.68,577.75
P100076,Clothing,629,815,102.54,Summer,4.1,107.07,76.93
P100077,Clothing,710,309,86.76,Festival,3.9,84.97,82.35
P100078,Footwear,532,1282,135.73,Summer,4.3,123.71,101.02
P100079,Grocery,330,439,22.21,Winter,4.1,24.78,20.34
P100080,Footwear,545,997,101.83,Normal,2.7,103.62,79.12
P100081,Footwear,963,287,139.45,Summer,3.4,134.83,129.55
P100082,Clothing,34,487,103.19,Festival,3.9,91.26,74.7
P100083,Footwear,220,260,141.51,Winter,3.3,147.37,121.3
P100084,Electronics,509,830,615.48,Summer,4.4,671.66,494.72
P100085,Electronics,352,46,808.28,Normal,3.3,853.15,755.32
P100086,Electronics,631,129,730.41,Winter,4.6,798.11,766.52
P100087,Footwear,373,754,148.43,Normal,2.9,136.83,97.48
P100088,Grocery,665,820,23.6,Winter,4.4,26.96,20.65
P100089,Electronics,124,497,646.23,Normal,3.0,605.55,489.11
P100090,Grocery,345,649,25.56,Winter,3.8,24.33,19.21
P100091,Electronics,698,627,788.69,Winter,3.3,803.14,652.53
P100092,Footwear,481,1138,136.97,Normal,4.1,120.73,94.06
P100093,Clothing,719,672,87.28,Winter,3.0,87.23,67.48
P100094,Clothing,643,1272,70.12,Winter,4.5,65.42,54.77
P100095,Clothing,341,329,71.63,Normal,3.9,77.52,66.39
P100096,Grocery,439,303,24.83,Festival,4.9,26.93,24.56
P100097,Clothing,965,608,94.74,Normal,4.3,99.12,81.87
P100098,Electronics,962,126,724.51,Festival,4.0,720.06,809.3
P100099,Electronics,54,1008,565.96,Normal,4.6,545.45,396.51
P100100,Home Decor,711,588,175.01,Normal,3.0,193.11,151.51
P100101,Home Decor,501,552,181.23,Festival,4.1,184.29,151.71
P100102,Footwear,21,803,157.84,Winter,3.5,160.06,103.07
P100103,Clothing,641,127,78.73,Summer,4.4,71.69,76.18
P100104,Home Decor,42,568,259.39,Festival,2.6,243.55,175.77
P100105,Footwear,332,1458,133.63,Normal,3.6,130.6,92.1
P100106,Footwear,696,944,135.27,Winter,4.1,144.56,102.66
P100107,Clothing,816,863,84.42,Summer,3.7,93.55,67.4
P100108,Clothing,424,760,94.6,Winter,3.1,108.61,73.34
P100109,Electronics,812,705,855.28,Festival,3.7,851.35,688.97
P100110,Home Decor,842,1405,148.41,Normal,4.6,148.77,119.3
P100111,Clothing,458,1395,99.73,Summer,3.0,108.39,74.06
P100112,Electronics,189,617,750.3,Festival,3.4,725.34,505.05
P100113,Clothing,666,1387,77.75,Normal,5.0,79.77,64.25
P100114,Grocery,33,128,24.87,Normal,4.8,26.43,22.32
P100115,Electronics,895,482,746.27,Summer,2.6,704.32,641.33
P100116,Home Decor,400,456,176.7,Normal,3.8,168.84,149.14
P100117,Footwear,764,1047,138.87,Festival,2.7,135.56,106.05
P100118,Footwear,741,910,101.67,Normal,4.8,105.33,86.42
P100119,Clothing,483,711,82.33,Summer,3.6,78.46,61.12
P100120,Grocery,972,387,26.09,Festival,3.5,24.42,23.2
P100121,Grocery,800,762,35.04,Festival,3.2,32.25,24.75
P100122,Grocery,885,407,25.54,Winter,3.9,28.06,25.42
P100123,Electronics,112,748,849.66,Winter,2.9,950.95,580.91
P100124,Clothing,494,512,105.19,Festival,4.5,118.27,90.32
P100125,Electronics,952,1333,878.33,Festival,3.7,967.78,735.03
P100126,Grocery,816,1120,31.61,Summer,3.9,28.99,23.06
P100127,Clothing,465,267,78.25,Winter,4.6,70.92,72.91
P100128,Electronics,88,1410,712.3,Summer,3.0,722.83,457.3
P100129,Electronics,296,989,544.38,Normal,2.9,555.7,423.52
P100130,Grocery,580,528,21.58,Normal,3.6,23.26,19.47
P100131,Electronics,649,798,673.59,Winter,4.5,633.29,539.78
P100132,Home Decor,925,297,206.44,Summer,2.6,233.56,196.52
P100133,Grocery,111,75,30.32,Summer,4.5,29.22,28.34
P100134,Clothing,408,633,78.89,Winter,3.8,81.73,66.65
P100135,Grocery,286,1174,28.55,Normal,3.9,31.79,21.39
P100136,Electronics,960,531,702.91,Festival,3.9,717.91,655.63
P100137,Home Decor,182,579,152.51,Summer,2.6,165.24,117.05
P100138,Grocery,236,1485,21.72,Summer,3.1,23.5,15.26
P100139,Footwear,311,1480,132.47,Summer,4.4,144.83,102.46
P100140,Electronics,123,698,671.95,Normal,3.5,738.46,475.04
P100141,Grocery,650,71,27.62,Festival,3.9,27.23,28.37
P100142,Grocery,534,1020,24.27,Festival,4.9,23.74,19.84
P100143,Home Decor,566,1073,203.06,Winter,2.6,222.74,152.37
P100144,Grocery,909,1371,29.29,Normal,3.6,30.36,23.63
P100145,Grocery,444,1422,22.51,Winter,3.4,23.5,17.83
P100146,Clothing,325,945,90.93,Normal,2.8,90.14,63.17
P100147,Clothing,387,165,87.43,Normal,4.9,81.7,80.72
P100148,Grocery,804,377,30.27,Festival,4.9,30.37,27.62
P100149,Clothing,537,1076,67.26,Normal,3.3,76.8,56.54
P100150,Electronics,185,913,838.61,Winter,4.9,803.83,590.42
P100151,Footwear,696,656,145.18,Festival,2.6,138.42,117.06
P100152,Home Decor,750,605,183.89,Summer,5.0,168.31,156.51
P100153,Electronics,264,1065,820.21,Winter,4.6,828.34,592.91
P100154,Grocery,565,636,30.48,Summer,3.0,29.19,22.99
P100155,Electronics,572,236,758.36,Summer,4.0,808.05,729.26
P100156,Footwear,191,1469,145.43,Summer,4.5,133.28,96.67
P100157,Clothing,28,527,74.07,Winter,3.3,70.13,54.55
P100158,Grocery,723,421,33.84,Festival,3.4,30.35,28.31
P100159,Footwear,623,108,122.25,Winter,4.1,108.95,117.31
P100160,Footwear,719,706,151.75,Winter,2.9,166.9,120.51
P100161,Electronics,389,1479,636.48,Normal,2.8,715.78,477.93
P100162,Home Decor,525,244,151.8,Normal,3.1,164.9,148.67
P100163,Clothing,982,370,82.25,Summer,4.4,91.59,86.6
P100164,Electronics,240,271,789.19,Winter,3.4,712.94,630.68
P100165,Grocery,659,145,30.54,Festival,3.8,34.29,29.67
P100166,Clothing,149,907,91.87,Normal,3.0,92.4,61.07
P100167,Footwear,84,450,106.23,Winter,3.0,115.53,83.18
P100168,Footwear,958,1127,107.54,Normal,4.1,112.52,86.8
P100169,Clothing,147,603,87.54,Summer,2.8,85.3,61.67
P100170,Home Decor,662,956,188.07,Winter,4.2,178.95,146.47
P100171,Clothing,523,138,89.0,Normal,3.5,81.16,83.23
P100172,Grocery,813,497,36.4,Festival,4.2,36.09,30.39
P100173,Clothing,555,623,88.3,Normal,3.5,89.48,70.03
P100174,Home Decor,703,94,185.3,Summer,4.6,212.25,207.64
P100175,Electronics,896,631,705.13,Summer,2.6,627.61,542.71
P100176,Electronics,832,708,811.78,Summer,4.7,843.71,682.37
P100177,Clothing,727,608,91.41,Summer,3.2,93.4,77.45
P100178,Home Decor,179,758,216.06,Summer,2.6,191.47,128.39
P100179,Home Decor,186,1196,201.71,Festival,3.9,195.46,140.69
P100180,Footwear,507,1157,161.43,Festival,3.1,160.49,117.28
P100181,Home Decor,665,26,186.9,Festival,3.6,189.42,190.09
P100182,Home Decor,673,962,217.97,Winter,4.5,205.55,172.41
P100183,Grocery,790,1356,30.88,Summer,4.5,27.46,23.93
P100184,Clothing,121,1307,96.57,Normal,4.0,92.64,68.6
P100185,Footwear,189,488,107.55,Summer,4.9,118.93,95.37
P100186,Footwear,166,1175,141.22,Normal,3.7,155.08,105.72
P100187,Clothing,550,1202,71.46,Summer,2.6,66.38,52.89
P100188,Electronics,641,551,786.72,Festival,4.5,829.6,652.51
P100189,Footwear,133,1304,133.62,Normal,3.1,150.91,92.01
P100190,Clothing,871,950,97.06,Festival,2.9,89.93,74.26
P100191,Home Decor,317,1127,205.21,Festival,2.7,187.72,141.25
P100192,Clothing,667,1122,89.12,Normal,3.3,78.96,64.05
P100193,Electronics,756,1173,739.25,Summer,3.3,684.95,581.03
P100194,Home Decor,55,1435,192.72,Normal,3.3,211.94,132.04
P100195,Electronics,867,1286,680.7,Normal,4.0,748.61,579.48
P100196,Electronics,971,636,730.25,Normal,4.4,749.18,649.41
P100197,Grocery,959,845,26.32,Winter,4.8,25.53,21.27
P100198,Home Decor,156,974,162.1,Winter,2.7,177.96,115.39
P100199,Electronics,404,1285,683.22,Normal,2.9,637.21,515.13
P100200,Clothing,247,592,106.77,Festival,4.0,97.99,74.9
P100201,Footwear,461,472,120.67,Winter,2.7,109.09,96.64
P100202,Home Decor,975,1108,163.25,Summer,3.4,181.18,135.86
P100203,Grocery,767,1431,31.21,Summer,4.1,33.49,24.32
P100204,Electronics,775,1368,820.88,Winter,4.5,860.81,635.2
P100205,Electronics,433,226,727.03,Summer,3.0,782.58,671.44
P100206,Clothing,937,1379,95.44,Summer,4.2,87.68,73.47
P100207,Electronics,921,1184,827.89,Summer,4.1,814.56,677.59
P100208,Footwear,810,239,127.77,Normal,4.6,140.53,131.08
P100209,Electronics,818,14,619.29,Summer,3.3,698.26,687.13
P100210,Grocery,658,310,28.19,Summer,4.4,28.71,26.77
P100211,Footwear,113,1394,154.33,Winter,4.4,140.9,97.63
P100212,Grocery,298,1133,29.59,Winter,3.1,33.86,21.57
P100213,Electronics,773,865,540.33,Normal,4.1,533.12,456.0
P100214,Footwear,340,948,145.72,Normal,4.2,140.79,107.12
P100215,Footwear,188,622,145.53,Winter,3.2,132.78,97.58
P100216,Footwear,948,1358,126.28,Winter,3.6,111.56,96.08
P100217,Electronics,498,238,857.54,Winter,3.6,894.41,779.75
P100218,Electronics,863,474,756.75,Summer,4.4,791.07,720.89
P100219,Home Decor,298,304,224.18,Winter,2.5,211.46,173.67
P100220,Clothing,372,1272,100.99,Summer,3.8,93.28,67.38
P100221,Clothing,356,812,68.97,Summer,3.0,70.53,50.52
P100222,Grocery,385,1027,34.01,Festival,4.1,33.93,23.58
P100223,Footwear,448,1379,121.89,Summer,4.2,117.25,92.42
P100224,Home Decor,311,297,221.31,Summer,3.8,207.8,178.48
P100225,Clothing,817,1446,113.08,Festival,3.9,125.75,92.07
P100226,Home Decor,339,194,224.44,Winter,3.3,257.13,205.5
P100227,Electronics,452,1132,773.31,Summer,3.3,754.76,565.69
P100228,Grocery,863,1055,29.91,Summer,4.4,31.96,23.15
P100229,Grocery,448,1239,24.4,Summer,2.8,27.17,17.33
P100230,Electronics,30,241,666.02,Summer,4.4,590.94,569.01
P100231,Electronics,20,1440,565.16,Normal,4.1,635.9,406.75
P100232,Clothing,447,1192,94.17,Normal,4.7,95.56,68.28
P100233,Home Decor,655,170,209.46,Winter,3.2,215.81,197.64
P100234,Grocery,943,837,28.71,Winter,3.8,29.45,23.5
P100235,Home Decor,148,1226,166.65,Normal,2.6,157.58,111.36
P100236,Footwear,551,717,153.56,Festival,4.8,167.57,123.8
P100237,Grocery,303,574,26.15,Summer,4.2,28.18,21.4
P100238,Footwear,461,416,154.25,Summer,4.1,139.73,125.74
P100239,Electronics,453,776,820.68,Winter,4.3,846.91,632.05
P100240,Electronics,326,1475,802.41,Festival,3.2,913.47,581.93
P100241,Footwear,37,913,144.32,Summer,4.0,160.95,100.69
P100242,Footwear,92,1084,113.3,Winter,4.5,118.85,85.39
P100243,Clothing,531,1170,73.23,Winter,2.7,68.37,54.51
P100244,Grocery,239,1168,28.92,Winter,4.9,28.16,20.28
P100245,Grocery,340,603,30.01,Winter,4.7,27.63,22.75
P100246,Home Decor,108,1154,179.01,Festival,4.9,197.26,136.4
P100247,Grocery,68,495,26.74,Festival,4.5,29.15,21.15
P100248,Clothing,144,878,86.6,Summer,3.2,97.5,60.35
P100249,Clothing,389,457,69.79,Summer,4.0,62.61,55.57
P100250,Clothing,180,1409,80.19,Normal,2.8,91.45,51.75
P100251,Grocery,246,1096,27.22,Winter,4.4,31.06,20.42
P100252,Home Decor,315,877,225.52,Summer,2.9,239.52,157.6
P100253,Clothing,305,680,81.05,Winter,4.7,90.62,62.94
P100254,Clothing,30,782,71.4,Normal,3.1,71.29,51.6
P100255,Clothing,135,1170,65.86,Normal,2.9,63.53,43.93
P100256,Footwear,951,414,104.67,Normal,2.7,96.48,98.33
P100257,Footwear,674,1243,161.83,Festival,4.3,143.79,119.47
P100258,Electronics,141,426,696.8,Winter,3.0,621.08,553.85
P100259,Electronics,298,216,623.86,Winter,3.0,665.48,571.1
P100260,Grocery,395,1106,31.45,Summer,2.9,30.53,20.64
P100261,Electronics,907,1063,888.68,Festival,3.3,795.01,672.6
P100262,Footwear,881,505,123.08,Festival,4.9,112.03,116.6
P100263,Clothing,775,974,77.1,Summer,3.7,81.69,59.55
P100264,Electronics,124,1094,770.42,Normal,3.2,873.23,548.25
P100265,Home Decor,500,1182,213.27,Winter,2.9,211.17,155.54
P100266,Electronics,493,1429,821.2,Summer,2.5,895.08,585.93
P100267,Clothing,644,1282,72.32,Winter,3.4,82.65,54.52
P100268,Electronics,847,661,749.73,Normal,2.8,803.14,605.15
P100269,Electronics,334,349,554.36,Normal,2.6,596.05,475.22
P100270,Electronics,565,150,739.97,Festival,2.8,774.23,715.26
P100271,Electronics,278,862,742.81,Normal,3.3,849.76,541.2
P100272,Electronics,226,1001,731.73,Normal,4.4,703.15,510.5
P100273,Electronics,327,1037,533.59,Normal,2.7,582.37,392.42
P100274,Grocery,740,19,22.67,Normal,4.2,22.49,24.77
P100275,Footwear,449,1053,146.89,Winter,4.1,135.43,104.88
P100276,Clothing,687,1181,69.94,Normal,4.7,75.51,58.13
P100277,Clothing,697,1084,90.66,Festival,3.0,100.08,70.95
P100278,Grocery,374,790,22.48,Normal,4.5,25.02,17.66
P100279,Home Decor,955,27,160.91,Summer,4.7,181.66,181.43
P100280,Home Decor,65,737,212.35,Normal,4.9,229.58,156.45
P100281,Electronics,898,968,550.15,Normal,4.5,562.5,488.94
P100282,Electronics,27,856,723.8,Winter,2.8,820.38,495.65
P100283,Clothing,394,864,89.43,Normal,4.9,83.76,65.19
P100284,Clothing,828,777,71.64,Winter,4.5,64.53,58.36
P100285,Grocery,690,830,28.13,Summer,3.0,28.03,21.57
P100286,Clothing,335,489,79.4,Summer,2.9,82.36,62.54
P100287,Electronics,887,909,765.98,Normal,4.8,814.69,657.43
P100288,Clothing,155,425,109.79,Festival,2.9,120.78,81.67
P100289,Grocery,677,739,30.78,Winter,4.4,27.31,23.09
P100290,Electronics,528,625,760.42,Festival,3.5,833.84,609.84
P100291,Home Decor,223,1072,223.94,Winter,4.3,233.35,164.18
P100292,Electronics,922,1342,751.62,Winter,2.7,854.82,592.52
P100293,Home Decor,770,951,176.91,Normal,4.3,172.3,139.3
P100294,Electronics,28,207,555.55,Normal,3.8,581.43,472.63
P100295,Home Decor,105,1002,152.77,Normal,4.8,166.06,114.58
P100296,Home Decor,75,490,197.13,Festival,3.0,200.96,148.08
P100297,Home Decor,427,78,170.79,Normal,2.8,157.48,149.13
P100298,Footwear,428,292,155.04,Winter,3.0,138.52,123.77
P100299,Footwear,729,1499,159.0,Winter,2.7,144.7,113.99
P100300,Grocery,682,643,22.71,Summer,5.0,23.02,19.84
P100301,Footwear,34,306,173.52,Festival,2.8,182.66,132.88
P100302,Electronics,486,204,861.96,Festival,3.0,891.31,736.88
P100303,Grocery,789,977,25.86,Normal,4.5,27.73,21.57
P100304,Grocery,899,1142,32.61,Winter,3.1,29.04,23.99
P100305,Home Decor,306,532,208.93,Summer,3.1,191.54,153.49
P100306,Grocery,63,159,31.72,Festival,4.2,34.43,27.93
P100307,Clothing,169,535,72.81,Normal,3.5,79.43,57.97
P100308,Grocery,353,999,24.52,Winter,4.6,26.22,18.75
P100309,Clothing,454,175,99.86,Summer,4.1,107.98,92.27
P100310,Electronics,364,405,628.69,Winter,3.2,716.79,567.44
P100311,Grocery,108,7,22.1,Winter,4.0,25.08,21.34
P100312,Clothing,353,710,79.24,Winter,4.7,83.52,62.72
P100313,Clothing,304,259,87.06,Winter,3.4,84.12,77.8
P100314,Clothing,497,303,92.91,Festival,4.3,82.12,82.48
P100315,Clothing,97,173,103.66,Winter,3.5,108.9,88.68
P100316,Clothing,794,1096,84.8,Winter,3.9,84.5,68.0
P100317,Clothing,428,736,99.07,Summer,4.3,91.11,70.8
P100318,Footwear,331,1422,129.08,Normal,2.7,121.1,85.15
P100319,Clothing,908,595,88.65,Winter,3.6,100.43,78.76
P100320,Home Decor,749,336,169.6,Winter,2.7,152.28,152.62
P100321,Home Decor,154,310,173.64,Summer,4.3,189.72,156.4
P100322,Grocery,163,1429,35.19,Festival,4.0,39.54,25.28
P100323,Clothing,22,886,92.43,Normal,3.3,98.52,64.58
P100324,Grocery,569,491,26.07,Summer,2.7,23.37,20.47
P100325,Home Decor,367,982,224.5,Summer,4.8,248.83,172.42
P100326,Grocery,387,838,30.19,Summer,3.3,31.89,20.53
P100327,Footwear,519,176,122.94,Festival,3.2,117.38,119.45
P100328,Grocery,548,1053,27.01,Normal,2.8,28.36,19.77
P100329,Grocery,20,183,30.83,Winter,3.9,28.27,25.29
P100330,Clothing,125,302,99.01,Winter,3.2,106.05,79.82
P100331,Footwear,793,1071,103.11,Normal,4.6,115.88,89.79
P100332,Electronics,954,669,595.78,Normal,4.2,608.2,525.62
P100333,Footwear,840,337,126.9,Winter,2.5,144.29,116.63
P100334,Home Decor,908,106,172.09,Summer,3.9,171.79,172.31
P100335,Electronics,474,892,597.26,Winter,3.1,663.87,481.87
P100336,Grocery,829,1047,27.26,Normal,2.5,29.68,21.69
P100337,Electronics,884,308,674.84,Normal,4.0,609.97,622.51
P100338,Footwear,894,627,106.4,Normal,3.0,119.85,96.45
P100339,Electronics,166,519,696.89,Normal,4.7,784.57,591.0
P100340,Home Decor,163,1338,161.54,Winter,3.9,157.49,112.83
P100341,Electronics,414,1187,678.46,Winter,3.0,742.39,510.07
P100342,Home Decor,513,414,215.21,Summer,4.9,202.44,189.95
P100343,Footwear,958,772,144.33,Normal,3.9,128.19,107.31
P100344,Grocery,331,1385,27.3,Festival,2.9,25.56,18.99
P100345,Footwear,834,521,151.32,Winter,3.8,152.93,131.35
P100346,Footwear,889,215,148.75,Summer,4.9,133.22,150.79
P100347,Home Decor,965,450,194.57,Normal,3.6,179.63,176.72
P100348,Clothing,205,912,99.39,Normal,3.6,112.96,70.36
P100349,Grocery,257,1488,23.15,Normal,3.7,23.46,16.76
P100350,Electronics,235,465,568.85,Summer,3.2,627.0,510.52
P100351,Grocery,740,92,29.57,Normal,2.9,27.67,27.72
P100352,Electronics,692,276,670.22,Normal,3.9,605.81,625.88
P100353,Grocery,418,621,28.58,Festival,4.7,31.18,23.28
P100354,Grocery,107,145,24.89,Festival,4.3,24.25,22.93
P100355,Grocery,530,57,21.19,Normal,2.7,21.28,21.72
P100356,Grocery,737,985,21.48,Normal,3.5,24.65,18.2
P100357,Footwear,484,1237,127.29,Festival,2.5,122.9,88.59
P100358,Footwear,282,353,157.38,Winter,3.3,158.6,125.3
P100359,Grocery,600,786,24.94,Winter,4.2,26.22,18.81
P100360,Grocery,667,861,29.28,Normal,3.2,26.47,21.2
P100361,Home Decor,599,1003,175.94,Festival,4.6,188.86,144.18
P100362,Electronics,875,1469,641.64,Summer,3.7,642.9,509.25
P100363,Electronics,327,1328,809.87,Summer,4.2,750.95,534.73
P100364,Electronics,617,477,584.72,Normal,4.7,582.52,537.61
P100365,Grocery,857,1463,23.55,Normal,4.2,23.66,19.84
P100366,Clothing,228,57,94.03,Normal,4.7,99.02,90.88
P100367,Footwear,295,1442,110.94,Winter,4.5,125.7,84.57
P100368,Footwear,68,218,101.14,Normal,3.9,109.9,93.55
P100369,Clothing,387,175,98.83,Normal,3.2,97.18,86.05
P100370,Home Decor,63,183,189.67,Winter,3.2,216.56,170.99
P100371,Footwear,751,187,136.32,Summer,4.7,149.07,138.38
P100372,Clothing,107,697,69.97,Normal,2.6,62.1,49.64
P100373,Clothing,698,962,75.37,Summer,4.9,68.7,63.49
P100374,Clothing,588,1118,96.08,Festival,3.3,90.21,69.34
P100375,Electronics,988,28,851.61,Festival,4.3,768.62,886.39
P100376,Electronics,361,448,614.96,Normal,3.3,621.77,524.84
P100377,Home Decor,357,202,229.03,Winter,4.9,222.62,202.59
P100378,Clothing,258,223,92.47,Normal,2.6,105.67,79.83
P100379,Clothing,546,1120,87.11,Summer,3.4,87.78,65.28
P100380,Footwear,234,962,122.1,Normal,4.7,114.44,94.22
P100381,Grocery,131,318,27.97,Summer,3.2,31.95,22.84
P100382,Home Decor,949,455,204.23,Normal,3.2,208.06,191.4
P100383,Footwear,685,1387,105.36,Normal,4.7,94.8,84.03
P100384,Grocery,136,864,30.56,Summer,4.6,27.56,20.59
P100385,Clothing,625,362,84.91,Summer,2.8,90.2,77.9
P100386,Home Decor,318,1401,220.0,Normal,4.0,222.99,166.32
P100387,Footwear,196,301,152.14,Summer,3.1,159.52,125.29
P100388,Home Decor,482,440,154.48,Summer,3.0,171.38,142.93
P100389,Electronics,791,1040,678.89,Winter,4.0,722.32,541.0
P100390,Home Decor,20,771,188.33,Normal,2.8,209.55,125.96
P100391,Grocery,368,108,31.03,Festival,3.7,33.53,28.26
P100392,Electronics,922,1211,808.63,Winter,3.1,858.84,630.86
P100393,Grocery,406,346,22.02,Normal,4.6,20.18,20.12
P100394,Footwear,117,1039,138.35,Winter,3.9,139.79,95.82
P100395,Electronics,440,504,844.24,Winter,3.0,841.66,680.95
P100396,Clothing,688,1128,105.88,Winter,4.8,108.63,87.22
P100397,Footwear,996,1347,104.86,Winter,4.6,103.35,91.26
P100398,Clothing,636,1159,105.0,Winter,3.2,109.99,76.55
P100399,Clothing,69,1382,69.8,Normal,4.9,68.82,53.58
P100400,Clothing,812,812,86.59,Summer,3.2,89.24,70.58
P100401,Clothing,784,102,74.08,Normal,3.2,73.08,76.45
P100402,Home Decor,658,806,200.37,Summer,3.5,225.11,161.87
P100403,Footwear,898,694,106.33,Winter,2.9,104.29,89.47
P100404,Electronics,773,1079,617.6,Summer,4.2,665.38,502.28
P100405,Home Decor,247,376,201.62,Festival,3.9,210.84,163.65
P100406,Home Decor,432,1047,218.47,Normal,4.7,214.99,161.93
P100407,Clothing,517,665,90.82,Winter,3.1,99.72,70.36
P100408,Home Decor,498,1006,208.49,Summer,2.9,235.68,157.29
P100409,Electronics,646,632,743.6,Summer,3.4,807.06,603.67
P100410,Home Decor,707,576,177.96,Normal,2.9,202.19,146.02
P100411,Footwear,121,325,105.07,Winter,4.9,104.84,86.75
P100412,Grocery,577,1243,21.65,Normal,4.3,24.39,18.61
P100413,Electronics,58,107,700.91,Winter,4.5,782.62,643.9
P100414,Home Decor,521,358,227.07,Summer,4.4,246.56,204.41
P100415,Electronics,433,642,602.53,Normal,3.1,666.1,474.69
